Days ago,Date,Yield(Wh),Consumption(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,28/06/2026,50,60,48.00,21.34,13.25,14.24,331,120,350,0,0,0,0
1,27/06/2026,50,90,39.00,20.15,13.25,14.22,329,120,342,0,0,0,0
2,26/06/2026,50,80,36.00,20.09,13.25,14.22,254,120,309,0,0,0,0
3,25/06/2026,50,90,35.00,20.16,13.25,14.22,312,120,302,0,0,0,0
4,24/06/2026,40,80,36.00,19.94,13.25,14.22,247,120,313,0,0,0,0
5,23/06/2026,50,80,34.00,20.81,13.24,14.22,270,120,304,0,0,0,0
6,22/06/2026,50,70,42.00,20.08,13.25,14.22,408,120,271,0,0,0,0
7,21/06/2026,50,80,42.00,20.68,13.25,14.24,282,121,348,0,0,0,0
8,20/06/2026,50,70,45.00,20.45,13.24,14.23,539,120,150,0,0,0,0
9,19/06/2026,50,80,38.00,20.09,13.24,14.22,282,120,313,0,0,0,0
10,18/06/2026,40,70,42.00,20.33,13.24,14.22,433,120,260,0,0,0,0
11,17/06/2026,50,80,46.00,20.25,13.24,14.21,313,120,315,0,0,0,0
12,16/06/2026,40,60,47.00,20.38,13.24,14.23,360,120,361,0,0,0,0
13,15/06/2026,50,70,46.00,20.39,13.24,14.22,555,120,164,0,0,0,0
14,14/06/2026,50,60,43.00,21.32,13.23,14.23,276,120,363,0,0,0,0
15,13/06/2026,80,60,44.00,20.63,13.22,14.23,539,120,189,0,0,0,0
16,12/06/2026,40,70,36.00,20.63,13.22,13.54,814,0,0,0,0,0,0
17,11/06/2026,20,50,5.00,18.52,13.22,13.33,862,0,0,0,0,0,0
18,10/06/2026,50,60,48.00,21.62,13.23,14.24,418,124,303,0,0,0,0
19,09/06/2026,70,50,50.00,21.61,13.22,14.30,467,122,267,0,0,0,0
20,08/06/2026,20,60,7.00,18.60,13.22,13.36,861,0,0,0,0,0,0
21,07/06/2026,50,60,37.00,20.20,13.23,14.01,840,0,0,0,0,0,0
22,06/06/2026,40,50,48.00,20.63,13.23,14.26,436,120,192,0,0,0,0
23,05/06/2026,50,60,52.00,21.85,13.23,14.22,381,123,338,0,0,0,0
24,04/06/2026,60,50,52.00,21.31,13.22,13.66,883,0,0,0,0,0,0
25,03/06/2026,30,60,9.00,18.98,13.22,13.37,892,0,0,0,0,0,0
26,02/06/2026,40,60,45.00,20.65,13.23,13.61,793,0,0,0,0,0,0
27,01/06/2026,50,60,41.00,20.99,13.23,14.24,411,120,303,0,0,0,0
28,31/05/2026,50,70,30.00,20.47,13.24,14.23,480,120,240,0,0,0,0
29,30/05/2026,50,70,36.00,20.00,13.25,14.22,458,120,194,0,0,0,0
30,29/05/2026,40,70,21.00,21.03,13.25,14.24,510,120,233,0,0,0,0
